,sitio,sum_bytes,latitud,longitud,consumed_data,normalized
84,19-02245,1638525978236,25.7027499999971,-100.33733300001433,1.6 TB,0.1650876599171117
85,19-02251,2040295654666,25.667246999996348,-100.26488399996752,2.0 TB,0.20597644639623244
86,19-02252,1724698341507,25.759953000000657,-100.39908799997106,1.7 TB,0.1738575685709895
87,19-02255,554482287813,25.628044999996867,-100.36240199999888,554.5 GB,0.05476268122383566
88,19-02256,2193966097066,25.742777800007417,-100.38527780001216,2.2 TB,0.22161574989787533
89,19-02257,943335445826,25.677758000002164,-100.35686099997599,943.3 GB,0.09433693155304279
90,19-02258,3026263156773,25.67374100000474,-100.42818800002303,3.0 TB,0.3063200438205872
91,19-02259,1605634444125,25.661553999996002,-100.39991100000701,1.6 TB,0.16174023228846207
92,19-02260,3253724899506,25.74125399999465,-100.35464800000408,3.3 TB,0.3294692140452315
93,19-02261,415521859912,25.648010000002927,-100.38466400001008,415.5 GB,0.04062044103294061
94,19-02263,2469832080306,25.70151699999628,-100.35219500002589,2.5 TB,0.24969110238784442
95,19-02264,1381959750409,25.66921600000394,-100.30531500000471,1.4 TB,0.13897647651325556
96,19-02265,2321995234735,25.655077999998017,-100.29512999998805,2.3 TB,0.23464549400342827
97,19-02300,1866238823383,25.654551999996745,-100.30097199999736,1.9 TB,0.1882623852634906
98,19-02310,245293686501,24.840974999999215,-99.55368999998413,245.3 GB,0.023296028953907484
99,19-02403,1855657112565,25.67300000000461,-100.44053999999745,1.9 TB,0.18718546647244194
100,19-02404,1905560382098,25.74798899999691,-100.29651000001049,1.9 TB,0.19226420748315223
101,19-02405,219476961544,25.76972219999899,-100.18083329999453,219.5 GB,0.020668616741674785
102,19-02406,1202585975231,25.609817999997535,-100.27164100001647,1.2 TB,0.12072130091519144
103,19-02407,1369846259849,25.447400000003242,-100.16398399998943,1.4 TB,0.13774366588049247
104,19-02408,2530552962762,25.668055600003246,-100.23138889998124,2.5 TB,0.25587077034991806
105,19-02410,3922510735151,25.69124999999571,-100.20301939998214,3.9 TB,0.3975326913014928
106,19-02417,955978342243,25.557992999998202,-100.22415799998905,956.0 GB,0.09562362072447513
107,19-02420,898692208140,25.71207899999826,-100.23961499999923,898.7 GB,0.08979351297128346
108,19-02421,1749043345354,25.704143000005054,-100.26450399999882,1.7 TB,0.17633520121110935
109,19-02422,1023778273550,25.69482800000308,-100.24509400000487,1.0 TB,0.10252373558417381
110,19-02423,1652239576736,25.681775000003356,-100.25875399999208,1.7 TB,0.16648331626905288
111,19-02424,6613151459961,25.800624999992785,-100.3127560000242,6.6 TB,0.6713637953966547
112,19-02433,2906896190009,25.65908999999487,-100.19934000002766,2.9 TB,0.29417186364919523
113,19-02434,1192322378377,25.789102999995222,-100.14228999999065,1.2 TB,0.11967675712582435
114,19-02437,5556377752540,25.754908000002356,-100.24656299998416,5.6 TB,0.5638141294700512
115,19-02440,1014892280703,25.732943000002898,-100.31516600001748,1.0 TB,0.10161939290852821
116,19-02441,4172083617711,25.72882600000469,-100.2672759999987,4.2 TB,0.42293215000791035
117,19-02442,392594186161,25.702305000002003,-100.6101479999954,392.6 GB,0.038287052498500236
118,19-02446,618773005698,25.727596999996276,-100.21034700001393,618.8 GB,0.06130565743734082
119,19-02447,3575040200255,25.769865999992724,-100.26104800000529,3.6 TB,0.36217002123790526
120,19-02448,1783322548535,25.28336000000121,-100.01430499997501,1.8 TB,0.17982385429214023
121,19-02449,3380424808928,25.65183330000674,-100.10290830000294,3.4 TB,0.34236368032081843
122,19-02450,2721815825842,25.697113999998574,-100.46980000000497,2.7 TB,0.27533591873880103
123,19-02451,3130912268378,25.663669999998266,-100.16531300000473,3.1 TB,0.3169703627238657
124,19-02452,1598455747629,25.641704000004548,-100.27317099997126,1.6 TB,0.16100964407973622
125,19-02453,4209129445586,25.75020499999306,-100.27179699997916,4.2 TB,0.42670236721141563
126,19-02454,3142922343362,25.775638999999515,-100.12031699998012,3.1 TB,0.3181926485767518
127,19-02455,605632173378,25.718958999998158,-100.28711699999947,605.6 GB,0.05996829247823091
128,19-02456,1501690082018,25.590574000000476,-100.00442000000872,1.5 TB,0.15116163694580922
129,19-02457,4496003340705,25.593238000001207,-100.02682899999769,4.5 TB,0.4558980137026664
130,19-02458,6231637771214,25.729106999995583,-100.17744500002165,6.2 TB,0.6325364953956908
131,19-02459,1410737776720,25.748499999993452,-100.22694500000208,1.4 TB,0.14190526542429727
132,19-02460,1468756254735,25.818896000004013,-100.21955899999178,1.5 TB,0.1478099050687783
133,19-02461,1848545772745,25.770202999994314,-100.28993099998351,1.8 TB,0.1864617332677258
134,19-02463,790524866634,25.525277999994817,-100.20750000001172,790.5 GB,0.07878513779933702
135,19-02464,613309433706,25.85912700000276,-100.23717800000773,613.3 GB,0.06074962038004161
136,19-02468,523311401260,25.73881700000268,-100.51835599999421,523.3 GB,0.051590366837255576
137,19-02845,749879290786,26.488883999997395,-100.14873000000894,749.9 GB,0.07464856809368542
138,19-03000,1566234393067,25.6823629999999,-100.30302300001051,1.6 TB,0.15773042176893246
139,19-03001,1834979214222,25.692799999998943,-100.31200000000104,1.8 TB,0.18508104142549292
140,19-03002,1172584858296,25.67896799999457,-100.33958799998024,1.2 TB,0.1176680359814351
141,19-03003,7690962771405,25.69040999999698,-100.42238499999044,7.7 TB,0.7810544942318944
142,19-03004,2296888900805,25.687333999999844,-100.44877299999531,2.3 TB,0.23209037949986733
143,19-03005,3476636423838,25.674813000001727,-100.46881700002305,3.5 TB,0.35215530076819135
144,19-03006,636640091523,25.65870900000395,-100.41088300000371,636.6 GB,0.06312402129146269
145,19-03007,2200146392333,25.624379999995032,-100.28058800001509,2.2 TB,0.22224472910754525
146,19-03008,1816528464941,25.59004199999712,-100.25675800000309,1.8 TB,0.18320327714414095
147,19-03009,2417942381889,25.6841479999931,-100.21768000000154,2.4 TB,0.2444101991153737
148,19-03010,2523471367585,25.681680999992338,-100.23840199999628,2.5 TB,0.2551500643083451
149,19-03011,2078834041285,25.655089999994882,-100.13090800001403,2.1 TB,0.20989856385346828
150,19-03012,1664434307658,25.677742999999786,-100.19519700001695,1.7 TB,0.1677243948722731
151,19-03013,1607173793794,25.70532599999674,-100.21122099996909,1.6 TB,0.16189689453458211
152,19-03014,4525674487928,25.721773000005797,-100.18623599999057,4.5 TB,0.4589176970550091
153,19-03015,1111594545161,25.694399999997458,-100.37100000002341,1.1 TB,0.11146094759878004
154,19-03016,439886102860,25.69931900000449,-100.36306700002079,439.9 GB,0.04310003166924332
155,19-03017,1195879383113,25.72722219999811,-100.35805559998497,1.2 TB,0.12003875957570527
156,19-03018,3799516899034,25.73120799999961,-100.33267999999332,3.8 TB,0.38501539843876925
157,19-03019,1528105007710,25.712093000003634,-100.32867399999087,1.5 TB,0.15384992906899592
158,19-03020,601986870258,25.655067999994763,-100.3715300000036,602.0 GB,0.059597303750933764
159,19-03021,3090104778255,25.77221939999889,-100.3811082999889,3.1 TB,0.31281731472578245
160,19-03022,4820252272447,25.80202500000073,-100.38306999998652,4.8 TB,0.48889738153422946
161,19-03023,4667865209950,25.822791000007715,-100.30227699999622,4.7 TB,0.47338868979824206
162,19-03024,4605489642714,25.639601000002312,-100.31346599998847,4.6 TB,0.46704062173872735
163,19-03025,515376243207,25.63116670000205,-100.35031020000827,515.4 GB,0.050782792243298576
164,19-03026,2334469753043,25.696941000001686,-100.2840269999779,2.3 TB,0.2359150470469979
165,19-03027,3636146451130,25.720578000003684,-100.2585730000158,3.6 TB,0.36838890880246433
166,19-03028,3132775048940,25.691641999994502,-100.25433499996629,3.1 TB,0.31715994108461676
167,19-03029,2686909027766,25.73615399999966,-100.2413540000346,2.7 TB,0.27178339425292675
168,19-03030,2479075620678,25.759870000003747,-100.16472400001003,2.5 TB,0.25063183328605515
169,19-03031,5589790312531,25.789959000001915,-100.24894200002005,5.6 TB,0.5672145827927918
170,19-03032,2939765497914,25.761982999995098,-100.3194299999867,2.9 TB,0.297517029278882
171,19-03033,3699535375694,25.652928999994938,-100.20565299999271,3.7 TB,0.37484010796878586
172,19-03034,1424614207663,25.73730440000623,-100.32214029997397,1.4 TB,0.14331749351219641
173,19-03035,2947655517978,25.72181499999746,-100.20431399997855,2.9 TB,0.29832001010257064
